exit_date	name	buy_price	buy_date	sell_price	hold_days	ret_pct
2026-05-19	로보티즈	292500	2026-04-24	269000	15	-8.03
2026-05-19	두산	1287000	2026-04-09	1502000	26	16.71
2026-05-19	현대모비스	447500	2026-04-21	523000	18	16.87
2026-05-19	삼성전자	219000	2026-04-21	277500	18	26.71
2026-05-19	LS	343500	2026-04-15	541000	22	57.50
2026-05-15	주성엔지니어링	70700	2026-04-15	140100	20	98.16
2026-05-14	HD한국조선해양	426500	2026-04-21	439500	15	3.05
2026-05-14	삼성중공업	30150	2026-04-21	30250	15	0.33
2026-05-14	HD현대중공업	638000	2026-04-22	678000	14	6.27
2026-05-12	삼성SDI	471500	2026-04-08	628000	22	33.19
2026-05-12	LG화학	344500	2026-04-08	387000	22	12.34
2026-05-12	LG에너지솔루션	420000	2026-04-09	441500	21	5.12
2026-05-12	POSCO홀딩스	367000	2026-04-09	477000	21	29.97
2026-05-12	현대제철	39600	2026-04-14	42350	18	6.94
2026-05-12	NH투자증권	35200	2026-04-14	34100	18	-3.12
2026-05-12	SK이노베이션	126400	2026-04-16	128800	16	1.90
2026-05-07	한국콜마	77900	2026-04-09	86600	18	11.17
2026-05-07	달바글로벌	177800	2026-04-09	215000	18	20.92
2026-05-07	에이피알	367500	2026-04-09	400500	18	8.98
2026-05-06	실리콘투	41250	2026-04-08	43500	18	5.45
2026-05-06	큐리옥스바이오시스템즈	102700	2026-04-30	94400	2	-8.08
2026-05-06	서진시스템	51400	2026-04-28	59400	4	15.56
2026-05-04	신한지주	96700	2026-04-08	97900	17	1.24
2026-05-04	우리금융지주	35050	2026-04-14	33300	13	-4.99
2026-05-04	하나금융지주	119800	2026-04-13	126100	14	5.26
2026-05-04	이오테크닉스	501000	2026-04-24	460500	5	-8.08
2026-05-04	SAMG엔터	46000	2026-04-29	42300	2	-8.04
2026-04-30	삼성생명	235000	2026-04-13	248500	13	5.74
2026-04-29	한국금융지주	241500	2026-04-10	248500	13	2.90
2026-04-29	삼성증권	106800	2026-04-10	108900	13	1.97
2026-04-29	HLB	60200	2026-04-24	63000	3	4.65
2026-04-29	키움증권	463000	2026-04-13	425500	12	-8.10
2026-04-27	리노공업	124300	2026-04-24	114300	1	-8.05
2026-04-23	이수페타시스	161300	2026-04-22	148300	1	-8.06
2026-04-14	엘앤에프	186400	2026-04-10	171400	2	-8.05
2026-04-06	한국콜마	78600	2026-04-01	75500	3	-3.94
2026-03-19	삼성중공업	30800	2026-03-12	28600	5	-7.14
2026-03-19	HD현대중공업	601000	2026-03-12	569000	5	-5.32
2026-03-04	S-Oil	90200	2026-01-19	124000	28	37.47
2026-03-04	삼성SDI	383500	2026-01-22	352500	25	-8.08
2026-03-04	동진쎄미켐	38100	2025-12-26	45350	42	19.03
2026-03-04	HPSP	31000	2025-12-26	38050	42	22.74
2026-03-04	삼성전자	110500	2025-12-22	172100	45	55.75
2026-03-04	SK하이닉스	580000	2025-12-22	848000	45	46.21
2026-03-04	미래에셋증권	23650	2025-12-29	56700	41	139.75
2026-03-04	한미반도체	144400	2026-01-02	260500	39	80.40
2026-03-04	이오테크닉스	288500	2026-01-02	369000	39	27.90
2026-03-04	키움증권	301000	2025-12-23	368500	44	22.43
2026-03-04	원익IPS	67600	2025-12-26	108500	42	60.50
2026-03-03	POSCO홀딩스	360000	2026-01-22	373500	24	3.75
2026-03-03	셀트리온	248500	2026-02-24	228500	4	-8.05
2026-03-03	포스코퓨처엠	217000	2026-01-22	224500	24	3.46
2026-03-03	에코프로비엠	171900	2026-01-22	199900	24	16.29
2026-03-03	에코프로	104700	2026-01-22	164100	24	56.73
2026-02-23	코스맥스	184600	2026-01-20	189600	21	2.71
2026-02-23	코스메카코리아	80900	2026-01-22	83600	19	3.34
2026-02-23	쎄트렉아이	65800	2025-12-22	166500	39	153.04
2026-02-13	씨어스	163700	2026-02-10	164000	3	0.18
2026-02-06	클래시스	62800	2026-01-23	66900	10	6.53
2026-02-06	메디톡스	138000	2026-01-28	126900	7	-8.04
2026-02-06	큐리옥스바이오시스템즈	124500	2026-01-22	114500	11	-8.03
2026-02-06	에이프릴바이오	58600	2026-01-28	59000	7	0.68
2026-02-06	아모레퍼시픽	133100	2026-01-23	137300	10	3.16
2026-02-06	삼천당제약	416500	2026-01-27	499000	8	19.81
2026-02-06	씨어스	160000	2026-01-22	153100	11	-4.31
2026-02-05	한국항공우주	117100	2025-12-29	162000	26	38.34
2026-02-05	서진시스템	29000	2026-01-19	34450	13	18.79
2026-02-05	파마리서치	432000	2026-01-21	397000	11	-8.10
2026-02-05	LIG디펜스앤에어로스페이스	430500	2025-12-29	433500	26	0.70
2026-02-03	휴젤	284500	2026-01-26	261500	6	-8.08
2026-02-03	에이피알	284500	2026-01-22	261500	8	-8.08
2026-02-03	실리콘투	47650	2026-01-21	43800	9	-8.08
2026-02-02	LS	207500	2026-01-02	196600	21	-5.25
2026-02-02	OCI홀딩스	114600	2026-01-19	111100	10	-3.05
2026-02-02	HD현대일렉트릭	817000	2026-01-02	833000	21	1.96
2026-02-02	한화오션	114900	2026-01-02	133800	21	16.45
2026-02-02	LG에너지솔루션	416500	2026-01-22	383000	7	-8.04
2026-02-02	LS ELECTRIC	490500	2026-01-02	525000	21	7.03
2026-02-02	현대로템	193600	2026-01-02	212500	21	9.76
2026-02-02	SK	286000	2026-01-06	297500	19	4.02
2026-01-30	삼성중공업	26350	2026-01-08	29500	16	11.95
2026-01-30	HLB	67200	2026-01-28	61800	2	-8.04
2026-01-30	HD현대중공업	554000	2026-01-07	578000	17	4.33
2026-01-29	더존비즈온	95700	2026-01-19	88000	8	-8.05
2026-01-21	삼성바이오로직스	1762000	2026-01-07	1876000	10	6.47
2026-01-19	알테오젠	518000	2026-01-16	497000	1	-4.05
2026-01-19	NAVER	259500	2026-01-06	238500	9	-8.09
2026-01-14	에이비엘바이오	210000	2026-01-07	193200	5	-8.00
2026-01-13	하이브	323500	2025-12-23	331500	12	2.47
2026-01-13	와이지엔터테인먼트	66200	2025-12-23	67400	12	1.81
2026-01-13	에스엠	118400	2025-12-17	114300	16	-3.46
2026-01-13	JYP Ent.	72100	2025-12-23	69100	12	-4.16
2026-01-09	한솔케미칼	252000	2026-01-07	231500	2	-8.13
2026-01-09	카카오	62700	2026-01-05	57600	4	-8.13
2026-01-07	GS건설	20300	2025-12-05	18670	20	-8.03
2026-01-07	두산에너빌리티	83200	2026-01-05	83600	2	0.48
2026-01-07	스튜디오드래곤	41850	2025-12-19	43900	10	4.90
2026-01-07	디어유	39450	2025-12-29	36250	5	-8.11
2025-12-24	OCI홀딩스	121700	2025-12-23	120500	1	-0.99
2025-12-23	인텔리안테크	60500	2025-12-22	55600	1	-8.10
2025-12-18	현대해상	30400	2025-12-17	30300	1	-0.33
2025-12-18	에이피알	263500	2025-12-16	244000	2	-7.40
2025-12-18	코스맥스	169300	2025-12-16	168300	2	-0.59
2025-12-18	에코프로	103200	2025-12-17	98600	1	-4.46
2025-12-18	고려아연	1358000	2025-12-05	1308000	9	-3.68
2025-12-18	현대건설	74800	2025-12-05	68800	9	-8.02
2025-12-17	포스코퓨처엠	224500	2025-12-09	206500	6	-8.02
2025-12-17	클래시스	59100	2025-12-01	58800	12	-0.51
2025-12-16	에코프로비엠	181400	2025-12-09	166800	5	-8.05
2025-12-16	한전기술	100900	2025-12-11	92800	3	-8.03
2025-12-15	비에이치아이	63700	2025-12-12	58600	1	-8.01
2025-12-15	에코프로	117600	2025-12-09	108100	4	-8.08
2025-12-12	리노공업	64600	2025-12-11	62600	1	-3.10
2025-12-12	이수페타시스	147900	2025-12-10	136000	2	-8.05
2025-12-08	에이피알	254000	2025-12-05	268000	1	5.51
2025-12-08	신세계	242000	2025-12-05	244500	1	1.03
2025-12-04	신세계	248500	2025-12-03	241500	1	-2.82
2025-12-03	큐리옥스바이오시스템즈	97800	2025-12-02	89900	1	-8.08
2025-11-18	한국타이어앤테크놀로지	42850	2025-10-20	57200	21	33.49
2025-11-18	기아	115800	2025-10-21	114700	20	-0.95
2025-11-18	현대차	256500	2025-10-21	264500	20	3.12
2025-11-18	대웅제약	172900	2025-11-14	169600	2	-1.91
2025-11-17	삼성화재	513000	2025-11-10	477000	5	-7.02
2025-11-17	현대해상	29100	2025-11-10	28950	5	-0.52
2025-11-17	DB손해보험	141300	2025-11-10	129900	5	-8.07
2025-11-14	에코프로	73300	2025-10-17	89900	20	22.65
2025-11-14	POSCO홀딩스	293000	2025-10-17	313500	20	7.00
2025-11-14	포스코퓨처엠	166700	2025-10-14	209000	23	25.37
2025-11-14	에코프로비엠	123700	2025-10-14	150600	23	21.75
2025-11-14	LG화학	296500	2025-10-14	407000	23	37.27
2025-11-14	레인보우로보틱스	275500	2025-09-02	379000	48	37.57
2025-11-14	로보티즈	100206	2025-09-02	220000	48	119.55
2025-11-14	LG에너지솔루션	385000	2025-10-14	463000	23	20.26
2025-11-14	삼성SDI	210500	2025-10-13	315500	24	49.88
2025-11-07	이수페타시스	72300	2025-09-09	104000	38	43.85
2025-11-06	큐리옥스바이오시스템즈	79800	2025-11-04	75000	2	-6.01
2025-11-06	엘앤씨바이오	57600	2025-11-04	52900	2	-8.16
2025-11-05	HPSP	28750	2025-09-12	32350	33	12.52
2025-11-05	현대건설	66600	2025-10-24	64300	8	-3.45
2025-11-05	DL이앤씨	44300	2025-10-29	40750	5	-8.01
2025-11-05	리노공업	50100	2025-09-15	55000	32	9.78
2025-11-04	한전기술	109400	2025-10-24	100600	8	-8.04
2025-10-14	한미약품	309000	2025-09-02	342000	26	10.68
2025-10-14	보로노이	124300	2025-09-02	167900	26	35.08
2025-10-14	더존비즈온	83500	2025-09-04	89000	24	6.59
2025-10-14	NAVER	233500	2025-09-10	258000	20	10.49
2025-10-13	현대로템	208500	2025-09-10	210000	19	0.72
2025-10-13	한국항공우주	96800	2025-09-10	101400	19	4.75
2025-10-13	한화오션	112600	2025-09-11	109400	18	-2.84
2025-10-13	한화에어로스페이스	967000	2025-09-10	993000	19	2.69
2025-10-10	에이피알	246500	2025-09-29	257000	5	4.26
2025-10-10	실리콘투	47400	2025-10-01	46300	3	-2.32
2025-10-01	삼성에스디에스	167100	2025-09-12	166600	14	-0.30
2025-09-26	유한양행	119000	2025-09-05	114700	16	-3.61
2025-09-26	한화비전	59500	2025-09-10	54700	13	-8.07
2025-09-26	LG화학	290000	2025-09-11	282500	12	-2.59
2025-09-26	우리금융지주	26750	2025-09-16	26200	9	-2.06
2025-09-26	SK바이오팜	109200	2025-09-05	101500	16	-7.05
2025-09-26	올릭스	81600	2025-09-03	94000	18	15.20
2025-09-26	오름테라퓨틱	27900	2025-09-02	31800	19	13.98
2025-09-26	디앤디파마텍	157100	2025-09-02	199600	19	27.05
2025-09-26	넥스트바이오메디컬	66400	2025-09-02	68200	19	2.71
2025-09-25	알테오젠	462500	2025-09-02	455000	18	-1.62
2025-09-25	신세계	191300	2025-09-17	192900	7	0.84
2025-09-25	키움증권	231000	2025-09-09	256500	13	11.04
2025-09-25	삼성화재	452000	2025-08-28	450000	21	-0.44
2025-09-25	효성중공업	1445000	2025-09-12	1353000	10	-6.37
2025-09-25	삼성생명	144100	2025-08-28	150200	21	4.23
2025-09-25	한화	93000	2025-09-15	85500	9	-8.06
2025-09-25	현대해상	28100	2025-08-28	28700	21	2.14
2025-09-25	DB손해보험	137700	2025-09-01	139700	19	1.45
2025-09-25	리가켐바이오	151400	2025-09-03	146700	17	-3.10
2025-09-25	한국금융지주	141500	2025-09-09	147000	13	3.89
2025-09-25	삼성증권	72600	2025-09-09	72400	13	-0.28
2025-09-25	HD현대일렉트릭	585000	2025-09-11	587000	11	0.34
2025-09-25	에이비엘바이오	93000	2025-09-02	93300	18	0.32
2025-09-24	HD현대	148600	2025-09-10	154600	11	4.04
2025-09-24	LS	187800	2025-09-15	172700	8	-8.04
2025-09-24	미래에셋증권	22000	2025-09-09	20200	12	-8.18
2025-09-24	풍산	130500	2025-09-15	124900	8	-4.29
2025-09-24	현대제철	36950	2025-09-15	36300	8	-1.76
2025-09-24	SK	222500	2025-09-12	210500	9	-5.39
2025-09-24	삼성물산	182400	2025-09-10	193700	11	6.20
2025-09-18	두산	644000	2025-09-10	592000	7	-8.07
2025-09-18	고려아연	1042000	2025-09-12	958000	5	-8.06
2025-09-15	기아	107200	2025-09-02	101700	10	-5.13
2025-09-15	현대모비스	321500	2025-09-01	309500	11	-3.73
2025-09-15	현대차	221500	2025-09-03	215000	9	-2.93
2025-09-02	더존비즈온	78800	2025-08-28	77100	4	-2.16
2025-09-01	한미반도체	89000	2025-08-25	81800	6	-8.09
2025-09-01	리노공업	46750	2025-08-25	46250	6	-1.07
2025-08-29	하이브	287500	2025-08-19	287000	9	-0.17
2025-08-29	와이지엔터테인먼트	104300	2025-08-11	101600	14	-2.59
2025-08-29	에스엠	147300	2025-08-11	138800	14	-5.77
2025-08-28	CJ ENM	76400	2025-08-19	73800	8	-3.40
2025-08-28	JYP Ent.	79500	2025-08-18	73100	9	-8.05
2025-08-20	한미반도체	93000	2025-08-14	87100	4	-6.34
2025-08-20	한화오션	90000	2025-07-25	105200	18	16.89
2025-08-20	HD현대중공업	473500	2025-07-29	435500	16	-8.03
2025-08-20	삼성중공업	18950	2025-07-30	18930	15	-0.11
2025-08-13	JYP Ent.	83100	2025-08-11	76400	3	-8.06
2025-08-01	포스코퓨처엠	129200	2025-06-20	137100	31	6.11
2025-08-01	LG화학	216000	2025-06-26	290000	27	34.26
2025-08-01	에코프로비엠	102000	2025-06-20	107300	31	5.20
2025-08-01	POSCO홀딩스	269500	2025-06-25	290500	28	7.79
2025-07-14	카카오	51400	2025-06-09	58300	26	13.42
2025-06-27	에코프로	48900	2025-06-24	44950	4	-8.08
2025-06-23	알테오젠	408000	2025-06-11	375000	9	-8.09
