exit_date	name	buy_price	buy_date	sell_price	hold_days	ret_pct
2026-06-05	삼성물산	538000	2026-06-04	494500	1	-8.09
2026-06-05	주성엔지니어링	250500	2026-06-04	230000	1	-8.18
2026-06-05	SK	-	2026-05-22	590000	8	-8.10
2026-06-04	NC	336000	2026-06-02	309000	1	-8.04
2026-06-04	두산	1939000	2026-05-29	1783000	3	-8.05
2026-06-02	로보티즈	402500	2026-06-01	370000	1	-8.07
2026-06-02	LG	165800	2026-06-01	152500	1	-8.02
2026-06-02	테스	82200	2026-04-10	103800	34	26.28
2026-06-02	현대오토에버	925000	2026-05-29	851000	2	-8.00
2026-06-02	서진시스템	-	2026-05-22	71100	6	-8.02
2026-06-01	심텍	68000	2026-04-08	100200	35	47.35
2026-05-28	코미코	99800	2026-05-27	91800	1	-8.02
2026-05-28	이오테크닉스	548000	2026-05-21	504000	4	-8.03
2026-05-28	티엘비	131200	2026-05-26	120700	2	-8.00
2026-05-28	브이엠	-	2026-05-22	59300	3	-8.06
2026-05-28	주성엔지니어링	-	2026-05-22	206000	3	-8.04
2026-05-27	DB하이텍	218500	2026-05-26	201000	1	-8.01
2026-05-27	비에이치	-	2026-05-22	36250	2	-8.11
2026-05-27	피에스케이	-	2026-05-22	107500	2	-8.04
2026-05-20	서진시스템	68100	2026-05-07	62600	9	-8.08
2026-05-19	대한전선	41250	2026-04-15	53200	22	28.97
2026-05-19	에이치브이엠	125800	2026-05-18	115700	1	-8.03
2026-05-19	두산	1369000	2026-04-14	1502000	23	9.72
2026-05-18	산일전기	193800	2026-04-15	256000	21	32.09
2026-05-18	두산퓨얼셀	86100	2026-05-08	79200	6	-8.01
2026-05-18	하나마이크론	52500	2026-05-15	48300	1	-8.00
2026-05-18	두산테스나	183700	2026-05-13	169000	3	-8.00
2026-05-18	코미코	134100	2026-04-10	151200	24	12.75
2026-05-15	삼성SDI	481500	2026-04-09	617000	24	28.14
2026-05-15	브이엠	59500	2026-05-12	54700	3	-8.07
2026-05-15	코리아써키트	89300	2026-04-14	91000	21	1.90
2026-05-15	비츠로셀	38500	2026-04-01	52800	30	37.14
2026-05-14	에스비비테크	102900	2026-05-12	94600	2	-8.07
2026-05-13	가온전선	563000	2026-05-12	517000	1	-8.17
2026-05-12	대우건설	12210	2026-03-13	30150	40	146.93
2026-05-12	해성디에스	86200	2026-05-07	79300	3	-8.00
2026-05-12	POSCO홀딩스	536000	2026-05-07	493000	3	-8.02
2026-05-12	주성엔지니어링	164000	2026-05-11	150800	1	-8.05
2026-05-11	코오롱인더	87400	2026-04-09	88500	20	1.26
2026-05-08	가온전선	285000	2026-05-04	367000	3	28.77
2026-05-07	SK텔레콤	89000	2026-04-08	93200	19	4.72
2026-05-07	효성티앤씨	451000	2026-04-09	480500	18	6.54
2026-05-07	에이피알	391500	2026-04-10	400500	17	2.30
2026-05-04	이오테크닉스	488500	2026-04-13	449000	14	-8.09
2026-04-15	엘앤에프	185000	2026-04-07	170200	6	-8.00
2026-04-13	OCI홀딩스	165400	2026-03-12	193600	22	17.05
2026-04-13	현대건설	188700	2026-04-08	173600	3	-8.00
2026-04-13	ISC	220000	2026-03-16	216000	20	-1.82
2026-04-13	후성	11180	2026-04-09	10280	2	-8.05
2026-04-08	두산테스나	72900	2026-03-16	91000	17	24.83
2026-04-08	LX인터내셔널	51000	2026-04-01	46900	5	-8.04
2026-04-07	씨에스윈드	76600	2026-04-03	70400	2	-8.09
2026-04-07	DN오토모티브	37950	2026-03-18	34900	14	-8.04
2026-04-06	피에스케이	74100	2026-03-16	75700	15	2.16
2026-04-06	SK이터닉스	68000	2026-04-03	62500	1	-8.09
2026-04-01	대주전자재료	132400	2026-03-26	121800	4	-8.01
2026-04-01	엘앤에프	154600	2026-03-27	142200	3	-8.02
2026-03-31	코오롱티슈진	119700	2026-03-26	110100	3	-8.02
2026-03-31	지니너스	5350	2026-03-11	4920	14	-8.04
2026-03-31	티에스이	109900	2026-03-12	106400	13	-3.18
2026-03-31	삼천당제약	415500	2026-01-27	829000	41	99.52
2026-03-30	덕산네오룩스	52200	2026-03-25	48000	3	-8.05
2026-03-30	우리기술	20650	2026-03-10	21600	14	4.60
2026-03-30	HDC	30150	2026-03-26	27700	2	-8.13
2026-03-30	한올바이오파마	64300	2026-03-26	59100	2	-8.09
2026-03-30	브이엠	45500	2026-03-18	41850	8	-8.02
2026-03-27	효성중공업	2983000	2026-03-25	2744000	2	-8.01
2026-03-27	제노코	35150	2026-03-26	32300	1	-8.11
2026-03-27	LS ELECTRIC	835000	2026-03-18	768000	7	-8.02
2026-03-26	HPSP	50000	2026-03-18	46000	6	-8.00
2026-03-25	한국카본	47000	2026-03-11	43200	10	-8.09
2026-03-24	앱클론	71500	2026-03-10	65700	10	-8.11
2026-03-23	한화시스템	76500	2026-01-09	123700	47	61.70
2026-03-23	SK증권	2605	2026-03-20	2395	1	-8.06
2026-03-23	태웅	57300	2026-03-20	52700	1	-8.03
2026-03-23	에이피알	362500	2026-03-18	333500	3	-8.00
